Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
1,Chrome 123.0.0.0,,,02-04-2024 13:05:54,02-04-2024 13:06:02,7.779s,PASSED
,,,,,,,
Test Cases/dummy/1,Chrome 123.0.0.0,,,02-04-2024 13:05:55,02-04-2024 13:06:02,7.438s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,02-04-2024 13:05:55,02-04-2024 13:05:58,3.104s,PASSED
"navigateToUrl(""https://www.google.co.id/"")",Chrome 123.0.0.0,,,02-04-2024 13:05:58,02-04-2024 13:06:00,1.871s,PASSED
"setText(findTestObject(""Object Repository/Facebook/Page_Google/textarea_Login_q""), ""fb"")",Chrome 123.0.0.0,,,02-04-2024 13:06:00,02-04-2024 13:06:01,1.275s,PASSED
"click(findTestObject(""Object Repository/Facebook/Page_Google/span_Facebook""))",Chrome 123.0.0.0,,,02-04-2024 13:06:01,02-04-2024 13:06:02,0.780s,PASSED
